ID,ITEM,CRIAÇÃO,FINALIZAÇÃO,SUPERVISÃO,TOTAL
43,AGENDA (desenvolvimento do conteúdo/modelo),1420.0,710.0,710.0,2840.0
44,APLICACAO DE LOGO EM PECAS PRONTAS,1430.0,715.0,715.0,2860.0
45,BANNER,1440.0,720.0,720.0,2880.0
46,BLOCO,1450.0,725.0,725.0,2900.0
47,BONÉ E CHAPÉU (criação de layout),1460.0,730.0,730.0,2920.0
48,BRINDE (especial c/ criação exclusiva),1470.0,735.0,735.0,2940.0
49,BROADSIDE (relatório até 4 páginas),1480.0,740.0,740.0,2960.0
50,BROADSIDE (relatório acima de 4 páginas),1490.0,745.0,745.0,2980.0
51,CALENDÁRIO,1500.0,750.0,750.0,3000.0
52,CAMISETA (criação de layout),1510.0,755.0,755.0,3020.0
53,CAPA CARNÊ,1520.0,760.0,760.0,3040.0
54,CARNÊ (miolo - por página),1530.0,765.0,765.0,3060.0
55,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1540.0,770.0,770.0,3080.0
56,CAPA DE CD,1550.0,775.0,775.0,3100.0
57,CAPA PARA REVISTA/LIVRO,1560.0,780.0,780.0,3120.0
58,ACAO PROMOCIONAL (Acompanhamento),1570.0,785.0,785.0,3140.0
59,"ADESIVO (automóvel, vitrine)",1580.0,790.0,790.0,3160.0
60,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1590.0,795.0,795.0,3180.0
61,ADESIVO PARA CD,1600.0,800.0,800.0,3200.0
62,AGENDA (desenvolvimento do conteúdo/modelo),1610.0,805.0,805.0,3220.0
63,APLICACAO DE LOGO EM PECAS PRONTAS,1620.0,810.0,810.0,3240.0
64,BANNER,1630.0,815.0,815.0,3260.0
65,BLOCO,1640.0,820.0,820.0,3280.0
66,BONÉ E CHAPÉU (criação de layout),1650.0,825.0,825.0,3300.0
67,BRINDE (especial c/ criação exclusiva),1660.0,830.0,830.0,3320.0
68,BROADSIDE (relatório até 4 páginas),1670.0,835.0,835.0,3340.0
69,BROADSIDE (relatório acima de 4 páginas),1680.0,840.0,840.0,3360.0
70,CALENDÁRIO,1690.0,845.0,845.0,3380.0
71,CAMISETA (criação de layout),1700.0,850.0,850.0,3400.0
72,CAPA CARNÊ,1710.0,855.0,855.0,3420.0
73,CARNÊ (miolo - por página),1720.0,860.0,860.0,3440.0
74,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1730.0,865.0,865.0,3460.0
75,CAPA DE CD,1740.0,870.0,870.0,3480.0
76,CAPA PARA REVISTA/LIVRO,1750.0,875.0,875.0,3500.0
77,ACAO PROMOCIONAL (Acompanhamento),1760.0,880.0,880.0,3520.0
78,"ADESIVO (automóvel, vitrine)",1770.0,885.0,885.0,3540.0
79,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1780.0,890.0,890.0,3560.0
80,ADESIVO PARA CD,1790.0,895.0,895.0,3580.0
81,AGENDA (desenvolvimento do conteúdo/modelo),1800.0,900.0,900.0,3600.0
82,APLICACAO DE LOGO EM PECAS PRONTAS,1810.0,905.0,905.0,3620.0
83,BANNER,1820.0,910.0,910.0,3640.0
84,BLOCO,1830.0,915.0,915.0,3660.0
85,BONÉ E CHAPÉU (criação de layout),1840.0,920.0,920.0,3680.0
86,BRINDE (especial c/ criação exclusiva),1850.0,925.0,925.0,3700.0
87,BROADSIDE (relatório até 4 páginas),1860.0,930.0,930.0,3720.0
88,BROADSIDE (relatório acima de 4 páginas),1870.0,935.0,935.0,3740.0
89,CALENDÁRIO,1880.0,940.0,940.0,3760.0
90,CAMISETA (criação de layout),1890.0,945.0,945.0,3780.0
91,CAPA CARNÊ,1900.0,950.0,950.0,3800.0
92,CARNÊ (miolo - por página),1910.0,955.0,955.0,3820.0
93,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1920.0,960.0,960.0,3840.0
94,CAPA DE CD,1930.0,965.0,965.0,3860.0
95,CAPA PARA REVISTA/LIVRO,1940.0,970.0,970.0,3880.0
96,ACAO PROMOCIONAL (Acompanhamento),1950.0,975.0,975.0,3900.0
97,"ADESIVO (automóvel, vitrine)",1960.0,980.0,980.0,3920.0
98,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1970.0,985.0,985.0,3940.0
99,ADESIVO PARA CD,1980.0,990.0,990.0,3960.0
100,AGENDA (desenvolvimento do conteúdo/modelo),1990.0,995.0,995.0,3980.0
101,APLICACAO DE LOGO EM PECAS PRONTAS,2000.0,1000.0,1000.0,4000.0
102,BANNER,2010.0,1005.0,1005.0,4020.0
103,BLOCO,2020.0,1010.0,1010.0,4040.0
104,BONÉ E CHAPÉU (criação de layout),2030.0,1015.0,1015.0,4060.0
105,BRINDE (especial c/ criação exclusiva),2040.0,1020.0,1020.0,4080.0
106,BROADSIDE (relatório até 4 páginas),2050.0,1025.0,1025.0,4100.0
107,BROADSIDE (relatório acima de 4 páginas),2060.0,1030.0,1030.0,4120.0
108,CALENDÁRIO,2070.0,1035.0,1035.0,4140.0
109,CAMISETA (criação de layout),2080.0,1040.0,1040.0,4160.0
110,CAPA CARNÊ,2090.0,1045.0,1045.0,4180.0
111,CARNÊ (miolo - por página),2100.0,1050.0,1050.0,4200.0
112,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2110.0,1055.0,1055.0,4220.0
113,CAPA DE CD,2120.0,1060.0,1060.0,4240.0
114,CAPA PARA REVISTA/LIVRO,2130.0,1065.0,1065.0,4260.0
115,ACAO PROMOCIONAL (Acompanhamento),2140.0,1070.0,1070.0,4280.0
116,"ADESIVO (automóvel, vitrine)",2150.0,1075.0,1075.0,4300.0
117,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2160.0,1080.0,1080.0,4320.0
118,ADESIVO PARA CD,2170.0,1085.0,1085.0,4340.0
119,AGENDA (desenvolvimento do conteúdo/modelo),2180.0,1090.0,1090.0,4360.0
120,APLICACAO DE LOGO EM PECAS PRONTAS,2190.0,1095.0,1095.0,4380.0
121,BANNER,2200.0,1100.0,1100.0,4400.0
122,BLOCO,2210.0,1105.0,1105.0,4420.0
123,BONÉ E CHAPÉU (criação de layout),2220.0,1110.0,1110.0,4440.0
124,BRINDE (especial c/ criação exclusiva),2230.0,1115.0,1115.0,4460.0
125,BROADSIDE (relatório até 4 páginas),2240.0,1120.0,1120.0,4480.0
126,BROADSIDE (relatório acima de 4 páginas),2250.0,1125.0,1125.0,4500.0
127,CALENDÁRIO,2260.0,1130.0,1130.0,4520.0
128,CAMISETA (criação de layout),2270.0,1135.0,1135.0,4540.0
129,CAPA CARNÊ,2280.0,1140.0,1140.0,4560.0
130,CARNÊ (miolo - por página),2290.0,1145.0,1145.0,4580.0
131,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2300.0,1150.0,1150.0,4600.0
132,CAPA DE CD,2310.0,1155.0,1155.0,4620.0
133,CAPA PARA REVISTA/LIVRO,2320.0,1160.0,1160.0,4640.0
134,ACAO PROMOCIONAL (Acompanhamento),2330.0,1165.0,1165.0,4660.0
135,"ADESIVO (automóvel, vitrine)",2340.0,1170.0,1170.0,4680.0
136,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2350.0,1175.0,1175.0,4700.0
137,ADESIVO PARA CD,2360.0,1180.0,1180.0,4720.0
138,AGENDA (desenvolvimento do conteúdo/modelo),2370.0,1185.0,1185.0,4740.0
139,APLICACAO DE LOGO EM PECAS PRONTAS,2380.0,1190.0,1190.0,4760.0
140,BANNER,2390.0,1195.0,1195.0,4780.0
141,BLOCO,2400.0,1200.0,1200.0,4800.0
142,BONÉ E CHAPÉU (criação de layout),2410.0,1205.0,1205.0,4820.0
143,BRINDE (especial c/ criação exclusiva),2420.0,1210.0,1210.0,4840.0
144,BROADSIDE (relatório até 4 páginas),2430.0,1215.0,1215.0,4860.0
145,BROADSIDE (relatório acima de 4 páginas),2440.0,1220.0,1220.0,4880.0
146,CALENDÁRIO,2450.0,1225.0,1225.0,4900.0
147,CAMISETA (criação de layout),2460.0,1230.0,1230.0,4920.0
148,CAPA CARNÊ,2470.0,1235.0,1235.0,4940.0
149,CARNÊ (miolo - por página),2480.0,1240.0,1240.0,4960.0
150,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2490.0,1245.0,1245.0,4980.0
151,CAPA DE CD,2500.0,1250.0,1250.0,5000.0
152,CAPA PARA REVISTA/LIVRO,2510.0,1255.0,1255.0,5020.0
153,ACAO PROMOCIONAL (Acompanhamento),2520.0,1260.0,1260.0,5040.0
154,"ADESIVO (automóvel, vitrine)",2530.0,1265.0,1265.0,5060.0
155,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2540.0,1270.0,1270.0,5080.0
156,ADESIVO PARA CD,2550.0,1275.0,1275.0,5100.0
157,AGENDA (desenvolvimento do conteúdo/modelo),2560.0,1280.0,1280.0,5120.0
158,APLICACAO DE LOGO EM PECAS PRONTAS,2570.0,1285.0,1285.0,5140.0
159,BANNER,2580.0,1290.0,1290.0,5160.0
160,BLOCO,2590.0,1295.0,1295.0,5180.0
161,BONÉ E CHAPÉU (criação de layout),2600.0,1300.0,1300.0,5200.0
162,BRINDE (especial c/ criação exclusiva),2610.0,1305.0,1305.0,5220.0
163,BROADSIDE (relatório até 4 páginas),2620.0,1310.0,1310.0,5240.0
164,BROADSIDE (relatório acima de 4 páginas),2630.0,1315.0,1315.0,5260.0
165,CALENDÁRIO,2640.0,1320.0,1320.0,5280.0
166,CAMISETA (criação de layout),2650.0,1325.0,1325.0,5300.0
167,CAPA CARNÊ,2660.0,1330.0,1330.0,5320.0
168,CARNÊ (miolo - por página),2670.0,1335.0,1335.0,5340.0
169,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2680.0,1340.0,1340.0,5360.0
170,CAPA DE CD,2690.0,1345.0,1345.0,5380.0
171,CAPA PARA REVISTA/LIVRO,2700.0,1350.0,1350.0,5400.0
172,ACAO PROMOCIONAL (Acompanhamento),2710.0,1355.0,1355.0,5420.0
173,"ADESIVO (automóvel, vitrine)",2720.0,1360.0,1360.0,5440.0
174,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2730.0,1365.0,1365.0,5460.0
175,ADESIVO PARA CD,2740.0,1370.0,1370.0,5480.0
176,AGENDA (desenvolvimento do conteúdo/modelo),2750.0,1375.0,1375.0,5500.0
177,APLICACAO DE LOGO EM PECAS PRONTAS,2760.0,1380.0,1380.0,5520.0
178,BANNER,2770.0,1385.0,1385.0,5540.0
179,BLOCO,2780.0,1390.0,1390.0,5560.0
180,BONÉ E CHAPÉU (criação de layout),2790.0,1395.0,1395.0,5580.0
181,BRINDE (especial c/ criação exclusiva),2800.0,1400.0,1400.0,5600.0
182,BROADSIDE (relatório até 4 páginas),2810.0,1405.0,1405.0,5620.0
183,BROADSIDE (relatório acima de 4 páginas),2820.0,1410.0,1410.0,5640.0
184,CALENDÁRIO,2830.0,1415.0,1415.0,5660.0
185,CAMISETA (criação de layout),2840.0,1420.0,1420.0,5680.0
186,CAPA CARNÊ,2850.0,1425.0,1425.0,5700.0
187,CARNÊ (miolo - por página),2860.0,1430.0,1430.0,5720.0
188,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2870.0,1435.0,1435.0,5740.0
189,CAPA DE CD,2880.0,1440.0,1440.0,5760.0
190,CAPA PARA REVISTA/LIVRO,2890.0,1445.0,1445.0,5780.0
191,ACAO PROMOCIONAL (Acompanhamento),2900.0,1450.0,1450.0,5800.0
192,"ADESIVO (automóvel, vitrine)",2910.0,1455.0,1455.0,5820.0
193,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2920.0,1460.0,1460.0,5840.0
194,ADESIVO PARA CD,2930.0,1465.0,1465.0,5860.0
195,AGENDA (desenvolvimento do conteúdo/modelo),2940.0,1470.0,1470.0,5880.0
196,APLICACAO DE LOGO EM PECAS PRONTAS,2950.0,1475.0,1475.0,5900.0
197,BANNER,2960.0,1480.0,1480.0,5920.0
198,BLOCO,2970.0,1485.0,1485.0,5940.0
199,BONÉ E CHAPÉU (criação de layout),2980.0,1490.0,1490.0,5960.0
200,BRINDE (especial c/ criação exclusiva),2990.0,1495.0,1495.0,5980.0
201,BROADSIDE (relatório até 4 páginas),3000.0,1500.0,1500.0,6000.0
202,BROADSIDE (relatório acima de 4 páginas),3010.0,1505.0,1505.0,6020.0
203,CALENDÁRIO,3020.0,1510.0,1510.0,6040.0
204,CAMISETA (criação de layout),3030.0,1515.0,1515.0,6060.0
205,CAPA CARNÊ,3040.0,1520.0,1520.0,6080.0
206,CARNÊ (miolo - por página),3050.0,1525.0,1525.0,6100.0
207,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,3060.0,1530.0,1530.0,6120.0
208,CAPA DE CD,3070.0,1535.0,1535.0,6140.0
209,CAPA PARA REVISTA/LIVRO,3080.0,1540.0,1540.0,6160.0
210,ACAO PROMOCIONAL (Acompanhamento),3090.0,1545.0,1545.0,6180.0
211,"ADESIVO (automóvel, vitrine)",3100.0,1550.0,1550.0,6200.0
212,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",3110.0,1555.0,1555.0,6220.0
213,ADESIVO PARA CD,3120.0,1560.0,1560.0,6240.0
214,AGENDA (desenvolvimento do conteúdo/modelo),3130.0,1565.0,1565.0,6260.0
215,APLICACAO DE LOGO EM PECAS PRONTAS,3140.0,1570.0,1570.0,6280.0
216,BANNER,3150.0,1575.0,1575.0,6300.0
217,BLOCO,3160.0,1580.0,1580.0,6320.0
218,BONÉ E CHAPÉU (criação de layout),3170.0,1585.0,1585.0,6340.0
219,BRINDE (especial c/ criação exclusiva),3180.0,1590.0,1590.0,6360.0
220,BROADSIDE (relatório até 4 páginas),3190.0,1595.0,1595.0,6380.0
221,BROADSIDE (relatório acima de 4 páginas),3200.0,1600.0,1600.0,6400.0
222,CALENDÁRIO,3210.0,1605.0,1605.0,6420.0
223,CAMISETA (criação de layout),3220.0,1610.0,1610.0,6440.0
224,CAPA CARNÊ,3230.0,1615.0,1615.0,6460.0
225,CARNÊ (miolo - por página),3240.0,1620.0,1620.0,6480.0
226,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,3250.0,1625.0,1625.0,6500.0
227,CAPA DE CD,3260.0,1630.0,1630.0,6520.0
228,CAPA PARA REVISTA/LIVRO,3270.0,1635.0,1635.0,6540.0
229,ACAO PROMOCIONAL (Acompanhamento),3280.0,1640.0,1640.0,6560.0
230,"ADESIVO (automóvel, vitrine)",3290.0,1645.0,1645.0,6580.0
231,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",3300.0,1650.0,1650.0,6600.0
232,ADESIVO PARA CD,3310.0,1655.0,1655.0,6620.0
233,AGENDA (desenvolvimento do conteúdo/modelo),3320.0,1660.0,1660.0,6640.0
234,APLICACAO DE LOGO EM PECAS PRONTAS,3330.0,1665.0,1665.0,6660.0
235,BANNER,3340.0,1670.0,1670.0,6680.0
236,BLOCO,3350.0,1675.0,1675.0,6700.0
237,BONÉ E CHAPÉU (criação de layout),3360.0,1680.0,1680.0,6720.0
238,BRINDE (especial c/ criação exclusiva),3370.0,1685.0,1685.0,6740.0
239,BROADSIDE (relatório até 4 páginas),3380.0,1690.0,1690.0,6760.0
240,BROADSIDE (relatório acima de 4 páginas),3390.0,1695.0,1695.0,6780.0
241,CALENDÁRIO,3400.0,1700.0,1700.0,6800.0
242,CAMISETA (criação de layout),3410.0,1705.0,1705.0,6820.0
243,CAPA CARNÊ,3420.0,1710.0,1710.0,6840.0
244,CARNÊ (miolo - por página),3430.0,1715.0,1715.0,6860.0
245,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,3440.0,1720.0,1720.0,6880.0
246,CAPA DE CD,3450.0,1725.0,1725.0,6900.0
247,CAPA PARA REVISTA/LIVRO,3460.0,1730.0,1730.0,6920.0
248,ACAO PROMOCIONAL (Acompanhamento),3470.0,1735.0,1735.0,6940.0
249,"ADESIVO (automóvel, vitrine)",3480.0,1740.0,1740.0,6960.0
250,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",3490.0,1745.0,1745.0,6980.0
251,ADESIVO PARA CD,3500.0,1750.0,1750.0,7000.0
252,AGENDA (desenvolvimento do conteúdo/modelo),3510.0,1755.0,1755.0,7020.0
253,APLICACAO DE LOGO EM PECAS PRONTAS,3520.0,1760.0,1760.0,7040.0
254,BANNER,3530.0,1765.0,1765.0,7060.0
255,BLOCO,3540.0,1770.0,1770.0,7080.0
256,BONÉ E CHAPÉU (criação de layout),3550.0,1775.0,1775.0,7100.0
