ID,ITEM,CRIAÇÃO,FINALIZAÇÃO,SUPERVISÃO,TOTAL
100,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",1990.0,995.0,995.0,3980.0
101,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",2000.0,1000.0,1000.0,4000.0
102,CARTAZ/POSTER,2010.0,1005.0,1005.0,4020.0
103,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),2020.0,1010.0,1010.0,4040.0
104,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),2030.0,1015.0,1015.0,4060.0
105,AÇÃO PROMOCIONAL (Acompanhamento),2040.0,1020.0,1020.0,4080.0
106,"ADESIVO (automóvel, vitrine)",2050.0,1025.0,1025.0,4100.0
107,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2060.0,1030.0,1030.0,4120.0
108,ADESIVO PARA CD,2070.0,1035.0,1035.0,4140.0
109,AGENDA (desenvolvimento do conteúdo/modelo),2080.0,1040.0,1040.0,4160.0
110,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,2090.0,1045.0,1045.0,4180.0
111,BANNER,2100.0,1050.0,1050.0,4200.0
112,BLOCO,2110.0,1055.0,1055.0,4220.0
113,BONÉ E CHAPÉU (criação de layout),2120.0,1060.0,1060.0,4240.0
114,BRINDE (especial c/ criação exclusiva),2130.0,1065.0,1065.0,4260.0
115,BROADSIDE (relatório até 4 páginas),2140.0,1070.0,1070.0,4280.0
116,BROADSIDE (relatório acima de 4 páginas),2150.0,1075.0,1075.0,4300.0
117,CALENDÁRIO,2160.0,1080.0,1080.0,4320.0
118,CAMISETA (criação de layout),2170.0,1085.0,1085.0,4340.0
119,CAPA CARNÊ,2180.0,1090.0,1090.0,4360.0
120,CARNÊ (miolo - por página),2190.0,1095.0,1095.0,4380.0
121,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2200.0,1100.0,1100.0,4400.0
122,CAPA DE CD,2210.0,1105.0,1105.0,4420.0
123,CAPA PARA REVISTA/LIVRO,2220.0,1110.0,1110.0,4440.0
124,CARDÁPIO,2230.0,1115.0,1115.0,4460.0
125,CARTÃO DE CRÉDITO,2240.0,1120.0,1120.0,4480.0
126,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",2250.0,1125.0,1125.0,4500.0
127,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",2260.0,1130.0,1130.0,4520.0
128,CARTAZ/POSTER,2270.0,1135.0,1135.0,4540.0
129,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),2280.0,1140.0,1140.0,4560.0
130,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),2290.0,1145.0,1145.0,4580.0
131,AÇÃO PROMOCIONAL (Acompanhamento),2300.0,1150.0,1150.0,4600.0
132,"ADESIVO (automóvel, vitrine)",2310.0,1155.0,1155.0,4620.0
133,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2320.0,1160.0,1160.0,4640.0
134,ADESIVO PARA CD,2330.0,1165.0,1165.0,4660.0
135,AGENDA (desenvolvimento do conteúdo/modelo),2340.0,1170.0,1170.0,4680.0
136,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,2350.0,1175.0,1175.0,4700.0
137,BANNER,2360.0,1180.0,1180.0,4720.0
138,BLOCO,2370.0,1185.0,1185.0,4740.0
139,BONÉ E CHAPÉU (criação de layout),2380.0,1190.0,1190.0,4760.0
140,BRINDE (especial c/ criação exclusiva),2390.0,1195.0,1195.0,4780.0
141,BROADSIDE (relatório até 4 páginas),2400.0,1200.0,1200.0,4800.0
142,BROADSIDE (relatório acima de 4 páginas),2410.0,1205.0,1205.0,4820.0
143,CALENDÁRIO,2420.0,1210.0,1210.0,4840.0
144,CAMISETA (criação de layout),2430.0,1215.0,1215.0,4860.0
145,CAPA CARNÊ,2440.0,1220.0,1220.0,4880.0
146,CARNÊ (miolo - por página),2450.0,1225.0,1225.0,4900.0
147,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2460.0,1230.0,1230.0,4920.0
148,CAPA DE CD,2470.0,1235.0,1235.0,4940.0
149,CAPA PARA REVISTA/LIVRO,2480.0,1240.0,1240.0,4960.0
150,CARDÁPIO,2490.0,1245.0,1245.0,4980.0
151,CARTÃO DE CRÉDITO,2500.0,1250.0,1250.0,5000.0
152,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",2510.0,1255.0,1255.0,5020.0
153,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",2520.0,1260.0,1260.0,5040.0
154,CARTAZ/POSTER,2530.0,1265.0,1265.0,5060.0
155,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),2540.0,1270.0,1270.0,5080.0
156,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),2550.0,1275.0,1275.0,5100.0
157,AÇÃO PROMOCIONAL (Acompanhamento),2560.0,1280.0,1280.0,5120.0
158,"ADESIVO (automóvel, vitrine)",2570.0,1285.0,1285.0,5140.0
159,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2580.0,1290.0,1290.0,5160.0
160,ADESIVO PARA CD,2590.0,1295.0,1295.0,5180.0
161,AGENDA (desenvolvimento do conteúdo/modelo),2600.0,1300.0,1300.0,5200.0
162,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,2610.0,1305.0,1305.0,5220.0
163,BANNER,2620.0,1310.0,1310.0,5240.0
164,BLOCO,2630.0,1315.0,1315.0,5260.0
165,BONÉ E CHAPÉU (criação de layout),2640.0,1320.0,1320.0,5280.0
166,BRINDE (especial c/ criação exclusiva),2650.0,1325.0,1325.0,5300.0
167,BROADSIDE (relatório até 4 páginas),2660.0,1330.0,1330.0,5320.0
168,BROADSIDE (relatório acima de 4 páginas),2670.0,1335.0,1335.0,5340.0
169,CALENDÁRIO,2680.0,1340.0,1340.0,5360.0
170,CAMISETA (criação de layout),2690.0,1345.0,1345.0,5380.0
171,CAPA CARNÊ,2700.0,1350.0,1350.0,5400.0
172,CARNÊ (miolo - por página),2710.0,1355.0,1355.0,5420.0
173,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2720.0,1360.0,1360.0,5440.0
174,CAPA DE CD,2730.0,1365.0,1365.0,5460.0
175,CAPA PARA REVISTA/LIVRO,2740.0,1370.0,1370.0,5480.0
176,CARDÁPIO,2750.0,1375.0,1375.0,5500.0
177,CARTÃO DE CRÉDITO,2760.0,1380.0,1380.0,5520.0
178,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",2770.0,1385.0,1385.0,5540.0
179,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",2780.0,1390.0,1390.0,5560.0
180,CARTAZ/POSTER,2790.0,1395.0,1395.0,5580.0
181,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),2800.0,1400.0,1400.0,5600.0
182,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),2810.0,1405.0,1405.0,5620.0
183,AÇÃO PROMOCIONAL (Acompanhamento),2820.0,1410.0,1410.0,5640.0
184,"ADESIVO (automóvel, vitrine)",2830.0,1415.0,1415.0,5660.0
185,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",2840.0,1420.0,1420.0,5680.0
186,ADESIVO PARA CD,2850.0,1425.0,1425.0,5700.0
187,AGENDA (desenvolvimento do conteúdo/modelo),2860.0,1430.0,1430.0,5720.0
188,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,2870.0,1435.0,1435.0,5740.0
189,BANNER,2880.0,1440.0,1440.0,5760.0
190,BLOCO,2890.0,1445.0,1445.0,5780.0
191,BONÉ E CHAPÉU (criação de layout),2900.0,1450.0,1450.0,5800.0
192,BRINDE (especial c/ criação exclusiva),2910.0,1455.0,1455.0,5820.0
193,BROADSIDE (relatório até 4 páginas),2920.0,1460.0,1460.0,5840.0
194,BROADSIDE (relatório acima de 4 páginas),2930.0,1465.0,1465.0,5860.0
195,CALENDÁRIO,2940.0,1470.0,1470.0,5880.0
196,CAMISETA (criação de layout),2950.0,1475.0,1475.0,5900.0
197,CAPA CARNÊ,2960.0,1480.0,1480.0,5920.0
198,CARNÊ (miolo - por página),2970.0,1485.0,1485.0,5940.0
199,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,2980.0,1490.0,1490.0,5960.0
200,CAPA DE CD,2990.0,1495.0,1495.0,5980.0
201,CAPA PARA REVISTA/LIVRO,3000.0,1500.0,1500.0,6000.0
202,CARDÁPIO,3010.0,1505.0,1505.0,6020.0
203,CARTÃO DE CRÉDITO,3020.0,1510.0,1510.0,6040.0
204,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",3030.0,1515.0,1515.0,6060.0
205,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",3040.0,1520.0,1520.0,6080.0
206,CARTAZ/POSTER,3050.0,1525.0,1525.0,6100.0
207,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),3060.0,1530.0,1530.0,6120.0
208,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),3070.0,1535.0,1535.0,6140.0
209,AÇÃO PROMOCIONAL (Acompanhamento),3080.0,1540.0,1540.0,6160.0
210,"ADESIVO (automóvel, vitrine)",3090.0,1545.0,1545.0,6180.0
211,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",3100.0,1550.0,1550.0,6200.0
212,ADESIVO PARA CD,3110.0,1555.0,1555.0,6220.0
213,AGENDA (desenvolvimento do conteúdo/modelo),3120.0,1560.0,1560.0,6240.0
214,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,3130.0,1565.0,1565.0,6260.0
215,BANNER,3140.0,1570.0,1570.0,6280.0
216,BLOCO,3150.0,1575.0,1575.0,6300.0
217,BONÉ E CHAPÉU (criação de layout),3160.0,1580.0,1580.0,6320.0
218,BRINDE (especial c/ criação exclusiva),3170.0,1585.0,1585.0,6340.0
219,BROADSIDE (relatório até 4 páginas),3180.0,1590.0,1590.0,6360.0
220,BROADSIDE (relatório acima de 4 páginas),3190.0,1595.0,1595.0,6380.0
221,CALENDÁRIO,3200.0,1600.0,1600.0,6400.0
222,CAMISETA (criação de layout),3210.0,1605.0,1605.0,6420.0
223,CAPA CARNÊ,3220.0,1610.0,1610.0,6440.0
224,CARNÊ (miolo - por página),3230.0,1615.0,1615.0,6460.0
225,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,3240.0,1620.0,1620.0,6480.0
226,CAPA DE CD,3250.0,1625.0,1625.0,6500.0
227,CAPA PARA REVISTA/LIVRO,3260.0,1630.0,1630.0,6520.0
228,CARDÁPIO,3270.0,1635.0,1635.0,6540.0
229,CARTÃO DE CRÉDITO,3280.0,1640.0,1640.0,6560.0
230,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",3290.0,1645.0,1645.0,6580.0
231,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",3300.0,1650.0,1650.0,6600.0
232,CARTAZ/POSTER,3310.0,1655.0,1655.0,6620.0
233,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),3320.0,1660.0,1660.0,6640.0
234,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),3330.0,1665.0,1665.0,6660.0
235,AÇÃO PROMOCIONAL (Acompanhamento),3340.0,1670.0,1670.0,6680.0
236,"ADESIVO (automóvel, vitrine)",3350.0,1675.0,1675.0,6700.0
237,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",3360.0,1680.0,1680.0,6720.0
238,ADESIVO PARA CD,3370.0,1685.0,1685.0,6740.0
239,AGENDA (desenvolvimento do conteúdo/modelo),3380.0,1690.0,1690.0,6760.0
240,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,3390.0,1695.0,1695.0,6780.0
241,BANNER,3400.0,1700.0,1700.0,6800.0
242,BLOCO,3410.0,1705.0,1705.0,6820.0
243,BONÉ E CHAPÉU (criação de layout),3420.0,1710.0,1710.0,6840.0
244,BRINDE (especial c/ criação exclusiva),3430.0,1715.0,1715.0,6860.0
245,BROADSIDE (relatório até 4 páginas),3440.0,1720.0,1720.0,6880.0
246,BROADSIDE (relatório acima de 4 páginas),3450.0,1725.0,1725.0,6900.0
247,CALENDÁRIO,3460.0,1730.0,1730.0,6920.0
248,CAMISETA (criação de layout),3470.0,1735.0,1735.0,6940.0
249,CAPA CARNÊ,3480.0,1740.0,1740.0,6960.0
250,CARNÊ (miolo - por página),3490.0,1745.0,1745.0,6980.0
251,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,3500.0,1750.0,1750.0,7000.0
252,CAPA DE CD,3510.0,1755.0,1755.0,7020.0
253,CAPA PARA REVISTA/LIVRO,3520.0,1760.0,1760.0,7040.0
254,CARDÁPIO,3530.0,1765.0,1765.0,7060.0
255,CARTÃO DE CRÉDITO,3540.0,1770.0,1770.0,7080.0
256,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",3550.0,1775.0,1775.0,7100.0
